consensus.cluster	chr	start	end	strand	tpm
3418	chr2R	7942522	7942553	+	92
3419	chr2R	7944493	7944570	+	464
3420	chr2R	7949777	7949848	+	12864
3421	chr2R	7950344	7950438	+	3144
3422	chr2R	7956201	7956220	+	150
3423	chr2R	7962457	7962513	+	2340
3424	chr2R	7972499	7972612	+	4720
3425	chr2R	7989741	7989912	+	4139
3426	chr2R	8031773	8031874	+	1357
3427	chr2R	8038179	8038213	+	188
3428	chr2R	8040962	8041024	+	269
3429	chr2R	8067311	8067381	+	732
3430	chr2R	8067924	8068093	+	25366
3431	chr2R	8068751	8068839	+	633
3432	chr2R	8069742	8069930	+	6640
3433	chr2R	8073821	8073884	+	346
3434	chr2R	8077851	8077908	+	671
3435	chr2R	8078223	8078361	+	1272
3436	chr2R	8078409	8078415	+	346
3437	chr2R	8089426	8089489	+	790
3438	chr2R	8091697	8091701	+	251
3439	chr2R	8098669	8098764	+	1399
3440	chr2R	8106353	8106464	+	5213
3441	chr2R	8122988	8123130	+	4960
3442	chr2R	8127527	8127646	+	2524
3443	chr2R	8131400	8131519	+	13350
3444	chr2R	8131595	8131713	+	2499
3445	chr2R	8132270	8132311	+	633
3446	chr2R	8144591	8144636	+	185
3447	chr2R	8154056	8154079	+	422
3448	chr2R	8154135	8154152	+	839
3449	chr2R	8154273	8154275	+	175
3450	chr2R	8157097	8157178	+	485
3451	chr2R	8164857	8164935	+	3767
3452	chr2R	8167923	8167972	+	649
3453	chr2R	8170246	8170314	+	416
3454	chr2R	8174110	8174182	+	2970
3455	chr2R	8174434	8174532	+	1952
3456	chr2R	8237832	8237940	+	5596
3457	chr2R	8259263	8259382	+	8328
3458	chr2R	8259898	8259994	+	1402
3459	chr2R	8277333	8277368	+	119
3460	chr2R	8358472	8358590	+	4073
3461	chr2R	8358631	8358652	+	134
3462	chr2R	8371001	8371232	+	83679
3463	chr2R	8371383	8371409	+	314
3464	chr2R	8371511	8371517	+	126
3465	chr2R	8387672	8387697	+	161
3466	chr2R	8421002	8421108	+	7493
3467	chr2R	8444714	8444720	+	1452
3468	chr2R	8462773	8462774	+	202
3469	chr2R	8561596	8561672	+	228
3470	chr2R	8568861	8568906	+	148
3471	chr2R	8570500	8570509	+	752
3472	chr2R	8592153	8592278	+	7846
3473	chr2R	8600404	8600455	+	3145
3474	chr2R	8610075	8610122	+	262
3475	chr2R	8614686	8614740	+	7319
3476	chr2R	8625408	8625513	+	6521
3477	chr2R	8627879	8627960	+	2027
3478	chr2R	8649648	8649651	+	845
3479	chr2R	8649967	8649997	+	162
3480	chr2R	8665814	8665907	+	1703
3481	chr2R	8666171	8666211	+	5484
3482	chr2R	8670724	8670725	+	229
3483	chr2R	8672212	8672217	+	180
3484	chr2R	8674645	8674647	+	129
3485	chr2R	8675553	8675598	+	565
3486	chr2R	8676268	8676301	+	2947
3487	chr2R	8677186	8677309	+	8069
3488	chr2R	8696428	8696429	+	549
3489	chr2R	8701814	8701882	+	2076
3490	chr2R	8724259	8724298	+	1441
3491	chr2R	8735809	8735815	+	2475
3492	chr2R	8737316	8737415	+	5945
3493	chr2R	8792603	8792696	+	10474
3494	chr2R	8826357	8826448	+	4018
3495	chr2R	8860399	8860403	+	313
3496	chr2R	8891807	8891899	+	1980
3497	chr2R	8893585	8893681	+	4788
3498	chr2R	8900211	8900374	+	28634
3499	chr2R	8901398	8901511	+	32604
3500	chr2R	8902565	8902615	+	383
3501	chr2R	8907519	8907583	+	3994
3502	chr2R	8914551	8914598	+	1193
3503	chr2R	8922762	8922871	+	2696
3504	chr2R	8925640	8925756	+	4659
3505	chr2R	8928170	8928235	+	1923
3506	chr2R	8933381	8933386	+	428
3507	chr2R	8940399	8940403	+	198
3508	chr2R	8951539	8951811	+	34453
3509	chr2R	8951864	8951866	+	147
3510	chr2R	8952318	8952358	+	1868
3511	chr2R	9017800	9017930	+	12812
3512	chr2R	9019967	9020004	+	176
3513	chr2R	9062291	9062357	+	244
3514	chr2R	9064084	9064119	+	230
3515	chr2R	9069077	9069111	+	1570
3516	chr2R	9075434	9075461	+	131
3517	chr2R	9082368	9082461	+	4903
3518	chr2R	9087818	9087895	+	961
3519	chr2R	9095201	9095288	+	3126
3520	chr2R	9098527	9098570	+	634
3521	chr2R	9103222	9103318	+	1638
3522	chr2R	9110757	9110885	+	16889
3523	chr2R	9114262	9114331	+	1242
3524	chr2R	9116110	9116199	+	3460
3525	chr2R	9116610	9116667	+	1177
3526	chr2R	9116921	9116978	+	1273
3527	chr2R	9122090	9122151	+	430
3528	chr2R	9122324	9122348	+	663
3529	chr2R	9132467	9132521	+	1670
3530	chr2R	9132955	9133076	+	1063
3531	chr2R	9138486	9138516	+	1242
3532	chr2R	9139085	9139095	+	1107
3533	chr2R	9143950	9144014	+	1119
3534	chr2R	9145248	9145314	+	944
3535	chr2R	9145396	9145420	+	558
3536	chr2R	9148684	9148690	+	1220
3537	chr2R	9161519	9161549	+	561
3538	chr2R	9183463	9183511	+	152
3539	chr2R	9207485	9207670	+	15502
3540	chr2R	9240015	9240046	+	1884
3541	chr2R	9242257	9242330	+	9875
3542	chr2R	9251997	9252044	+	902
3543	chr2R	9286682	9286691	+	185
3544	chr2R	9286805	9286874	+	2619
3545	chr2R	9291842	9291910	+	1486
3546	chr2R	9292028	9292045	+	116
3547	chr2R	9399018	9399108	+	3787
3548	chr2R	9414343	9414344	+	146
3549	chr2R	9424063	9424151	+	4844
3550	chr2R	9424255	9424386	+	1582
3551	chr2R	9426450	9426559	+	2769
3552	chr2R	9446037	9446071	+	1347
3553	chr2R	9494166	9494204	+	3105
3554	chr2R	9521871	9521892	+	121
3555	chr2R	9552846	9552854	+	709
3556	chr2R	9578859	9578922	+	371
3557	chr2R	9579481	9579565	+	269
3558	chr2R	9584596	9584733	+	4298
3559	chr2R	9587130	9587255	+	168194
3560	chr2R	9587387	9587503	+	1297
3561	chr2R	9589020	9589093	+	1227
3562	chr2R	9590846	9590947	+	5756
3563	chr2R	9593971	9594143	+	8406
3564	chr2R	9599448	9599506	+	236
3565	chr2R	9603722	9603807	+	3139
3566	chr2R	9605923	9606069	+	5418
3567	chr2R	9607283	9607331	+	1196
3568	chr2R	9642645	9642659	+	91
3569	chr2R	9705662	9705713	+	135
3570	chr2R	9707494	9707578	+	2206
3571	chr2R	9712254	9712390	+	1747
3572	chr2R	9775090	9775157	+	2818
3573	chr2R	9788440	9788526	+	2796
3574	chr2R	9793326	9793331	+	1420
3575	chr2R	9817279	9817282	+	97
3576	chr2R	9820535	9820546	+	216
3577	chr2R	9836929	9837054	+	2091
3578	chr2R	9837292	9837347	+	211
3579	chr2R	9839776	9839833	+	1645
3580	chr2R	9842686	9842690	+	493
3581	chr2R	9843757	9843828	+	2431
3582	chr2R	9848062	9848115	+	1188
3583	chr2R	9861167	9861248	+	1132
3584	chr2R	9863767	9863808	+	322
3585	chr2R	9865606	9865737	+	4762
3586	chr2R	9871548	9871549	+	190
3587	chr2R	9874193	9874245	+	262
3588	chr2R	9875192	9875202	+	111
3589	chr2R	9875254	9875339	+	3563
3590	chr2R	9887586	9887667	+	1560
3591	chr2R	9891952	9891976	+	692
3592	chr2R	9910887	9910979	+	3130
3593	chr2R	9943098	9943135	+	151
3594	chr2R	9959905	9959944	+	124
3595	chr2R	9960016	9960128	+	4471
3596	chr2R	9965834	9965835	+	93
3597	chr2R	9968910	9969155	+	14647
3598	chr2R	9969836	9969924	+	3249
3599	chr2R	9970373	9970380	+	324
3600	chr2R	9971124	9971165	+	166
3601	chr2R	9971326	9971390	+	572
3602	chr2R	9989110	9989279	+	22682
3603	chr2R	9990052	9990221	+	7002
3604	chr2R	9990469	9990470	+	150
3605	chr2R	10026840	10026906	+	2914
3606	chr2R	10027591	10027709	+	2936
3607	chr2R	10033266	10033355	+	4384
3608	chr2R	10044018	10044089	+	2035
3609	chr2R	10049421	10049601	+	70483
3610	chr2R	10050289	10050437	+	26634
3611	chr2R	10052542	10052543	+	437
3612	chr2R	10066754	10066858	+	17356
3613	chr2R	10078364	10078366	+	706
3614	chr2R	10096449	10096538	+	3976
3615	chr2R	10096899	10097006	+	2329
3616	chr2R	10099656	10099757	+	31848
3617	chr2R	10099847	10099850	+	141
3618	chr2R	10100985	10101132	+	15617
3619	chr2R	10105045	10105046	+	153
3620	chr2R	10107550	10107615	+	1148
3621	chr2R	10108158	10108209	+	120
3622	chr2R	10109703	10109821	+	2625
3623	chr2R	10110871	10110960	+	1769
3624	chr2R	10111229	10111260	+	804
3625	chr2R	10117662	10117739	+	3019
3626	chr2R	10117878	10117977	+	2180
3627	chr2R	10124280	10124294	+	5310
3628	chr2R	10125319	10125320	+	119
3629	chr2R	10125911	10125914	+	2022
3630	chr2R	10137597	10137701	+	594
3631	chr2R	10142297	10142298	+	95
3632	chr2R	10142339	10142406	+	276
3633	chr2R	10153182	10153188	+	94
3634	chr2R	10230418	10230446	+	471
3635	chr2R	10247791	10247855	+	934
3636	chr2R	10248025	10248099	+	1343
3637	chr2R	10271884	10271889	+	1047
3638	chr2R	10271961	10271962	+	123
3639	chr2R	10275664	10275669	+	546
3640	chr2R	10276184	10276185	+	186
3641	chr2R	10277259	10277305	+	310
3642	chr2R	10292348	10292363	+	138
3643	chr2R	10303001	10303028	+	2399
3644	chr2R	10304595	10304596	+	184
3645	chr2R	10306408	10306418	+	190
3646	chr2R	10310094	10310167	+	3908
3647	chr2R	10313895	10313900	+	1188
3648	chr2R	10353308	10353465	+	14994
3649	chr2R	10353521	10353548	+	110
3650	chr2R	10353652	10353655	+	91
3651	chr2R	10353704	10353744	+	174
3652	chr2R	10353791	10353938	+	468
3653	chr2R	10359237	10359261	+	114
3654	chr2R	10360192	10360258	+	795
3655	chr2R	10418719	10418727	+	20405
3656	chr2R	10419139	10419140	+	107
3657	chr2R	10422191	10422192	+	135
3658	chr2R	10429679	10429767	+	4845
3659	chr2R	10437938	10437994	+	3904
3660	chr2R	10442104	10442139	+	93
3661	chr2R	10444345	10444351	+	845
3662	chr2R	10445116	10445117	+	190
3663	chr2R	10459081	10459148	+	749
3664	chr2R	10468585	10468643	+	2420
3665	chr2R	10469079	10469138	+	407
3666	chr2R	10480131	10480262	+	10766
3667	chr2R	10557874	10558024	+	5263
3668	chr2R	10569221	10569246	+	1257
3669	chr2R	10569819	10569820	+	211
3670	chr2R	10645632	10645664	+	204
3671	chr2R	10645734	10645815	+	907
3672	chr2R	10673344	10673345	+	437
3673	chr2R	10725225	10725312	+	8530
3674	chr2R	10731309	10731486	+	7157
3675	chr2R	10731535	10731646	+	8287
3676	chr2R	10732698	10732703	+	395
3677	chr2R	10735672	10735679	+	2354
3678	chr2R	10735801	10735971	+	15782
3679	chr2R	10737143	10737218	+	430
3680	chr2R	10760720	10760796	+	1337
3681	chr2R	10809668	10809740	+	2159
3682	chr2R	10810005	10810033	+	93
3683	chr2R	10811037	10811124	+	2792
3684	chr2R	10813519	10813690	+	5787
3685	chr2R	10819953	10820069	+	24234
3686	chr2R	10821635	10821750	+	10831
3687	chr2R	10823600	10823656	+	536
3688	chr2R	10859680	10859793	+	3025
3689	chr2R	10875705	10875816	+	4638
3690	chr2R	10879962	10880014	+	1052
3691	chr2R	10880137	10880170	+	126
3692	chr2R	10883556	10883557	+	147
3693	chr2R	10885215	10885285	+	3521
3694	chr2R	10886777	10886839	+	969
3695	chr2R	10894448	10894512	+	793
3696	chr2R	10903535	10903606	+	1196
3697	chr2R	11052535	11052542	+	276
3698	chr2R	11085516	11085633	+	2352
3699	chr2R	11086254	11086362	+	135
3700	chr2R	11139809	11139930	+	1385
3701	chr2R	11158965	11159094	+	1047
3702	chr2R	11173802	11173809	+	946
3703	chr2R	11198272	11198288	+	187
3704	chr2R	11204625	11204634	+	594
3705	chr2R	11219516	11219632	+	1923
3706	chr2R	11219797	11219847	+	397
3707	chr2R	11220055	11220138	+	1291
3708	chr2R	11222872	11222874	+	760
3709	chr2R	11224575	11224576	+	193
3710	chr2R	11256506	11256539	+	312
3711	chr2R	11279714	11279766	+	773
3712	chr2R	11284032	11284053	+	164
3713	chr2R	11284230	11284325	+	2986
3714	chr2R	11284412	11284483	+	6860
3715	chr2R	11303486	11303509	+	1138
3716	chr2R	11307819	11307834	+	143
3717	chr2R	11307874	11307939	+	1866
3718	chr2R	11360430	11360530	+	371
3719	chr2R	11360625	11360804	+	16359
3720	chr2R	11366711	11366716	+	346
3721	chr2R	11375158	11375164	+	139
3722	chr2R	11411715	11411754	+	549
3723	chr2R	11414509	11414510	+	195
3724	chr2R	11436245	11436246	+	438
3725	chr2R	11439803	11439804	+	152
3726	chr2R	11452189	11452223	+	1265
3727	chr2R	11452555	11452658	+	1112
3728	chr2R	11452743	11452788	+	667
3729	chr2R	11453392	11453393	+	128
3730	chr2R	11616344	11616411	+	760
3731	chr2R	11651802	11651893	+	4380
3732	chr2R	11665766	11665774	+	671
3733	chr2R	11672022	11672063	+	1894
3734	chr2R	11675906	11675943	+	265
3735	chr2R	11679491	11679494	+	2842
3736	chr2R	11691217	11691387	+	6400
3737	chr2R	11712262	11712263	+	950
3738	chr2R	11756799	11756817	+	194
3739	chr2R	11778506	11778624	+	4294
3740	chr2R	11825315	11825406	+	1870
3741	chr2R	11841541	11841720	+	5503
3742	chr2R	11844376	11844421	+	146
3743	chr2R	11852544	11852673	+	2947
3744	chr2R	11861284	11861372	+	5208
3745	chr2R	11864117	11864192	+	4065
3746	chr2R	11886030	11886076	+	709
3747	chr2R	11886812	11886843	+	298
3748	chr2R	11892054	11892181	+	292065
3749	chr2R	11893552	11893584	+	131
3750	chr2R	11893628	11893774	+	2314
3751	chr2R	11893899	11894007	+	485
3752	chr2R	11894068	11894091	+	169
3753	chr2R	11894214	11894654	+	6048
3754	chr2R	11894813	11895048	+	20816
3755	chr2R	11895185	11895284	+	898
3756	chr2R	11899536	11899579	+	386
3757	chr2R	11917853	11917898	+	674
3758	chr2R	11970607	11970746	+	2591
3759	chr2R	11989088	11989180	+	4024
3760	chr2R	12027943	12028044	+	1816
3761	chr2R	12034220	12034228	+	819
3762	chr2R	12037277	12037375	+	8175
3763	chr2R	12039013	12039111	+	1401
3764	chr2R	12044615	12044620	+	320
3765	chr2R	12052902	12052966	+	2953
3766	chr2R	12055842	12055904	+	306
3767	chr2R	12081184	12081292	+	7243
3768	chr2R	12138642	12138873	+	10917
3769	chr2R	12140406	12140485	+	472
3770	chr2R	12140604	12140686	+	2534
3771	chr2R	12145710	12145772	+	2041
3772	chr2R	12153341	12153453	+	8982
3773	chr2R	12168677	12168850	+	17842
3774	chr2R	12169144	12169169	+	221
3775	chr2R	12174342	12174384	+	167
3776	chr2R	12174643	12174685	+	96
3777	chr2R	12174773	12174882	+	9335
3778	chr2R	12180611	12180681	+	2501
3779	chr2R	12180772	12180856	+	3138
3780	chr2R	12182298	12182354	+	133
3781	chr2R	12182612	12182645	+	788
3782	chr2R	12213961	12214078	+	2331
3783	chr2R	12253937	12254004	+	21869
3784	chr2R	12257209	12257315	+	1396
3785	chr2R	12259348	12259453	+	19050
3786	chr2R	12260072	12260073	+	221
3787	chr2R	12264532	12264660	+	14620
3788	chr2R	12264833	12264861	+	172
3789	chr2R	12269354	12269423	+	1235
3790	chr2R	12269907	12269912	+	2770
3791	chr2R	12273598	12273626	+	255
3792	chr2R	12273764	12273798	+	599
3793	chr2R	12273844	12273883	+	610
3794	chr2R	12273952	12273993	+	448
3795	chr2R	12274106	12274149	+	748
3796	chr2R	12274211	12274240	+	621
3797	chr2R	12274445	12274468	+	993
3798	chr2R	12274688	12274691	+	348
3799	chr2R	12281648	12281663	+	208
3800	chr2R	12306526	12306530	+	568
3801	chr2R	12321199	12321288	+	2548
3802	chr2R	12326272	12326454	+	2470
3803	chr2R	12335316	12335379	+	4202
3804	chr2R	12336871	12337045	+	6869
3805	chr2R	12337771	12337827	+	1440
3806	chr2R	12338271	12338363	+	1201
3807	chr2R	12338412	12338553	+	1508
3808	chr2R	12344965	12345072	+	2782
3809	chr2R	12383891	12383892	+	187
3810	chr2R	12394856	12394966	+	1563
3811	chr2R	12422983	12423023	+	166
3812	chr2R	12423497	12423643	+	1532
3813	chr2R	12425425	12425629	+	4937
3814	chr2R	12425672	12425713	+	336
3815	chr2R	12436049	12436176	+	7293
3816	chr2R	12437341	12437376	+	1878
3817	chr2R	12453171	12453202	+	8500
3818	chr2R	12453430	12453514	+	536
3819	chr2R	12468626	12468713	+	7262
3820	chr2R	12474421	12474424	+	226
3821	chr2R	12495492	12495545	+	138
3822	chr2R	12515348	12515439	+	939
3823	chr2R	12519133	12519208	+	1591
3824	chr2R	12529052	12529065	+	3571
3825	chr2R	12562038	12562140	+	5712
3826	chr2R	12570268	12570436	+	2525
3827	chr2R	12572033	12572125	+	4092
3828	chr2R	12589262	12589313	+	373
3829	chr2R	12589767	12589768	+	806
3830	chr2R	12593552	12593697	+	3653
3831	chr2R	12612709	12612854	+	16762
3832	chr2R	12633568	12633648	+	5519
3833	chr2R	12636427	12636478	+	332
3834	chr2R	12636622	12636744	+	7384
3835	chr2R	12637028	12637062	+	527
3836	chr2R	12637104	12637181	+	1455
3837	chr2R	12652772	12652868	+	1309
3838	chr2R	12686222	12686251	+	311
3839	chr2R	12686487	12686634	+	1682
3840	chr2R	12700032	12700167	+	6809
3841	chr2R	12705172	12705178	+	2840
3842	chr2R	12756418	12756516	+	2899
3843	chr2R	12757510	12757673	+	1862
3844	chr2R	12803011	12803081	+	539
3845	chr2R	12806588	12806692	+	6151
3846	chr2R	12870174	12870521	+	51149
3847	chr2R	12870621	12870670	+	218
3848	chr2R	12870756	12870784	+	161
3849	chr2R	12870836	12870939	+	5054
3850	chr2R	12871136	12871174	+	173
3851	chr2R	12872736	12872755	+	122
3852	chr2R	12880272	12880388	+	4848
3853	chr2R	12906350	12906375	+	121
3854	chr2R	12915951	12916053	+	10416
3855	chr2R	12917802	12917940	+	2710
3856	chr2R	12918055	12918070	+	245
3857	chr2R	12923195	12923198	+	175
3858	chr2R	12923828	12923942	+	4345
3859	chr2R	12928860	12928863	+	847
3860	chr2R	12934550	12934554	+	130
3861	chr2R	12936894	12936895	+	261
3862	chr2R	12938432	12938453	+	422
3863	chr2R	12953535	12953567	+	4271
3864	chr2R	12953627	12953631	+	414
3865	chr2R	12996500	12996501	+	457
3866	chr2R	12997122	12997123	+	251
3867	chr2R	13103929	13104013	+	1036
3868	chr2R	13133049	13133236	+	2176
3869	chr2R	13158520	13158774	+	23947
3870	chr2R	13159757	13159770	+	121
3871	chr2R	13168499	13168561	+	2760
3872	chr2R	13171375	13171423	+	4966
3873	chr2R	13198818	13198974	+	3883
3874	chr2R	13206745	13206825	+	1007
3875	chr2R	13206942	13207012	+	1085
3876	chr2R	13214638	13214785	+	1597
3877	chr2R	13214852	13214890	+	397
3878	chr2R	13220268	13220368	+	13438
3879	chr2R	13222418	13222521	+	2166
3880	chr2R	13230431	13230518	+	379
3881	chr2R	13230617	13230649	+	531
3882	chr2R	13235922	13235991	+	362
3883	chr2R	13239728	13239729	+	656
3884	chr2R	13246669	13246679	+	7536
3885	chr2R	13256586	13256590	+	320
3886	chr2R	13257861	13257862	+	186
3887	chr2R	13393704	13393711	+	1650
3888	chr2R	13433009	13433137	+	31058
3889	chr2R	13450551	13450662	+	2845
3890	chr2R	13450733	13450793	+	680
3891	chr2R	13477288	13477387	+	962
3892	chr2R	13485564	13485701	+	1653
3893	chr2R	13502535	13502596	+	197
3894	chr2R	13502888	13503029	+	5836
3895	chr2R	13506379	13506481	+	2048
3896	chr2R	13507527	13507638	+	6411
3897	chr2R	13509586	13509672	+	417
3898	chr2R	13515145	13515243	+	871
3899	chr2R	13554042	13554183	+	8800
3900	chr2R	13558498	13558556	+	522
3901	chr2R	13558722	13558756	+	91
3902	chr2R	13578035	13578036	+	139
3903	chr2R	13593633	13593693	+	1183
3904	chr2R	13596628	13596771	+	9513
3905	chr2R	13623046	13623048	+	828
3906	chr2R	13665050	13665113	+	1052
3907	chr2R	13665503	13665522	+	114
3908	chr2R	13667693	13667740	+	555
3909	chr2R	13783955	13784051	+	1150
3910	chr2R	13792249	13792310	+	429
3911	chr2R	13794778	13794784	+	120
3912	chr2R	13805452	13805460	+	104
3913	chr2R	13805796	13805841	+	251
3914	chr2R	13824807	13824925	+	2961
3915	chr2R	13826375	13826377	+	276
3916	chr2R	13840033	13840075	+	62271
3917	chr2R	13840196	13840198	+	183
3918	chr2R	13840273	13840300	+	125
3919	chr2R	13849801	13849865	+	695
3920	chr2R	13858929	13858994	+	2258
3921	chr2R	13862008	13862115	+	1258
3922	chr2R	13910723	13910793	+	675
3923	chr2R	13954153	13954321	+	14949
3924	chr2R	13954491	13954566	+	256
3925	chr2R	13959106	13959195	+	1040
3926	chr2R	13960611	13960791	+	52494
3927	chr2R	13960837	13960838	+	108
3928	chr2R	13964652	13964653	+	182
3929	chr2R	13966862	13966864	+	128
3930	chr2R	13967328	13967346	+	129
3931	chr2R	13967436	13967463	+	124
3932	chr2R	13967529	13967533	+	200
3933	chr2R	13968298	13968406	+	3599
3934	chr2R	13983621	13983658	+	514
3935	chr2R	13991156	13991207	+	2241
3936	chr2R	14009197	14009199	+	384
3937	chr2R	14028580	14028705	+	10982
3938	chr2R	14031659	14031670	+	7936
3939	chr2R	14031761	14031765	+	127
3940	chr2R	14090281	14090368	+	3882
3941	chr2R	14090936	14091087	+	7989
3942	chr2R	14124029	14124093	+	221
3943	chr2R	14153146	14153243	+	967
3944	chr2R	14157745	14157801	+	1378
3945	chr2R	14161435	14161467	+	2138
3946	chr2R	14165035	14165112	+	1438
3947	chr2R	14168772	14168856	+	1473
3948	chr2R	14170458	14170600	+	13682
3949	chr2R	14171115	14171199	+	436
3950	chr2R	14173659	14173831	+	7111
3951	chr2R	14173877	14174032	+	1005
3952	chr2R	14174257	14174296	+	123
3953	chr2R	14185199	14185209	+	3376
3954	chr2R	14239916	14240058	+	1597
3955	chr2R	14256457	14256565	+	6282
3956	chr2R	14259012	14259074	+	932
3957	chr2R	14259114	14259115	+	168
3958	chr2R	14259277	14259324	+	159
3959	chr2R	14285784	14285785	+	160
3960	chr2R	14289501	14289539	+	1774
3961	chr2R	14308142	14308143	+	450
3962	chr2R	14332384	14332385	+	482
3963	chr2R	14352232	14352280	+	676
3964	chr2R	14352481	14352580	+	1402
3965	chr2R	14361923	14361924	+	233
3966	chr2R	14363022	14363097	+	8292
3967	chr2R	14363249	14363250	+	301
3968	chr2R	14371137	14371213	+	626
3969	chr2R	14375836	14375926	+	7361
3970	chr2R	14390685	14390778	+	1584
3971	chr2R	14408376	14408461	+	1413
3972	chr2R	14411802	14411838	+	1107
3973	chr2R	14420322	14420324	+	410
3974	chr2R	14481182	14481255	+	2971
3975	chr2R	14503902	14504051	+	3007
3976	chr2R	14504226	14504232	+	212
3977	chr2R	14504983	14505082	+	509
3978	chr2R	14505472	14505544	+	450
3979	chr2R	14514014	14514052	+	6982
3980	chr2R	14526577	14526641	+	1268
3981	chr2R	14563813	14563894	+	907
3982	chr2R	14576963	14577025	+	805
3983	chr2R	14601245	14601318	+	2844
3984	chr2R	14618675	14618888	+	32942
3985	chr2R	14621520	14621551	+	121
3986	chr2R	14621597	14621644	+	777
3987	chr2R	14629909	14629918	+	404
3988	chr2R	14645217	14645328	+	8521
3989	chr2R	14656853	14656914	+	745
3990	chr2R	14668359	14668441	+	2366
3991	chr2R	14700374	14700409	+	219
3992	chr2R	14749222	14749226	+	255
3993	chr2R	14752454	14752585	+	6535
3994	chr2R	14752628	14752686	+	182
3995	chr2R	14756262	14756340	+	469
3996	chr2R	14756457	14756607	+	36327
3997	chr2R	14770455	14770539	+	415
3998	chr2R	14770920	14770921	+	166
3999	chr2R	14771279	14771395	+	1904
4000	chr2R	14852912	14852955	+	799
4001	chr2R	14855421	14855494	+	357
4002	chr2R	14871773	14871774	+	124
4003	chr2R	14873952	14873954	+	874
4004	chr2R	14875829	14875835	+	581
4005	chr2R	14882116	14882120	+	2321
4006	chr2R	14899190	14899193	+	845
4007	chr2R	14933464	14933533	+	7462
4008	chr2R	14935649	14935681	+	1240
4009	chr2R	14935756	14935829	+	319
4010	chr2R	14963258	14963301	+	1355
4011	chr2R	14981231	14981348	+	7218
4012	chr2R	14994515	14994572	+	365
4013	chr2R	15128822	15128831	+	2474
4014	chr2R	15140742	15140763	+	200
4015	chr2R	15147877	15147935	+	361
4016	chr2R	15185092	15185242	+	5457
4017	chr2R	15200252	15200316	+	1122
4018	chr2R	15201487	15201576	+	1554
4019	chr2R	15202140	15202287	+	2146
4020	chr2R	15216138	15216270	+	3646
4021	chr2R	15218374	15218456	+	2624
4022	chr2R	15226846	15226957	+	41716
4023	chr2R	15227252	15227254	+	340
4024	chr2R	15227500	15227535	+	204
4025	chr2R	15248778	15248789	+	1332
4026	chr2R	15252650	15252662	+	3259
4027	chr2R	15311464	15311725	+	4023
4028	chr2R	15321911	15321980	+	315
4029	chr2R	15322482	15322594	+	5637
4030	chr2R	15322778	15322822	+	299
4031	chr2R	15338615	15338688	+	1301
4032	chr2R	15350132	15350137	+	268
4033	chr2R	15380673	15380811	+	6408
4034	chr2R	15381272	15381355	+	1359
4035	chr2R	15381400	15381748	+	7037
4036	chr2R	15383022	15383139	+	2312
4037	chr2R	15401057	15401096	+	410
4038	chr2R	15404700	15404724	+	285
4039	chr2R	15408843	15408851	+	1571
4040	chr2R	15511684	15511695	+	236
4041	chr2R	15511744	15511768	+	450
4042	chr2R	15511811	15511814	+	278
4043	chr2R	15538155	15538241	+	1560
4044	chr2R	15540749	15540844	+	545
4045	chr2R	15541386	15541502	+	15895
4046	chr2R	15541711	15541750	+	122
4047	chr2R	15542642	15542701	+	1714
4048	chr2R	15556480	15556583	+	1746
4049	chr2R	15571413	15571537	+	2257
4050	chr2R	15611257	15611298	+	388
4051	chr2R	15611455	15611457	+	134
4052	chr2R	15613849	15613858	+	962
4053	chr2R	15682686	15682770	+	1638
4054	chr2R	15686393	15686427	+	379
4055	chr2R	15689813	15689897	+	23736
4056	chr2R	15691126	15691127	+	326
4057	chr2R	15692420	15692426	+	1222
4058	chr2R	15694091	15694095	+	977
4059	chr2R	15735494	15735497	+	1849
4060	chr2R	15794803	15794887	+	628
4061	chr2R	15835757	15835758	+	160
4062	chr2R	15848501	15848530	+	160
4063	chr2R	15848586	15848597	+	1136
4064	chr2R	15934790	15934913	+	2535
4065	chr2R	15943975	15944101	+	13577
4066	chr2R	15954994	15955093	+	1254
4067	chr2R	15992578	15992657	+	2397
4068	chr2R	16001731	16001825	+	1494
4069	chr2R	16011661	16011725	+	789
4070	chr2R	16014858	16014956	+	1560
4071	chr2R	16017738	16017739	+	258
4072	chr2R	16047616	16047703	+	1751
4073	chr2R	16058365	16058457	+	624
4074	chr2R	16098944	16098990	+	3201
4075	chr2R	16102317	16102373	+	232
4076	chr2R	16102688	16102832	+	24286
4077	chr2R	16103392	16103540	+	4560
4078	chr2R	16103586	16103611	+	767
4079	chr2R	16105900	16106160	+	992
4080	chr2R	16110353	16110507	+	1775
4081	chr2R	16124953	16125031	+	4641
4082	chr2R	16137488	16137491	+	187
4083	chr2R	16138294	16138418	+	2796
4084	chr2R	16138648	16138736	+	10835
4085	chr2R	16142163	16142276	+	5586
4086	chr2R	16143007	16143217	+	7267
4087	chr2R	16150118	16150128	+	1892
4088	chr2R	16163057	16163064	+	90
4089	chr2R	16178804	16178880	+	4423
4090	chr2R	16186571	16186817	+	9367
4091	chr2R	16196345	16196488	+	35945
4092	chr2R	16196833	16196904	+	1492
4093	chr2R	16197000	16197119	+	9407
4094	chr2R	16197191	16197261	+	371
4095	chr2R	16197477	16197602	+	541
4096	chr2R	16226501	16226502	+	373
4097	chr2R	16236705	16236846	+	13747
