cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm.dominant_ctss	q_0.1	q_0.9	interquantile_width
2258	chr2L	16700775	16700838	-	9	16700781	1962	1730	16700781	16700781	1
2259	chr2L	16703193	16703233	-	6	16703222	343	127	16703194	16703233	40
2260	chr2L	16716091	16716097	-	3	16716096	552	489	16716096	16716096	1
2261	chr2L	16721160	16721164	-	2	16721161	65	40	16721161	16721164	4
2262	chr2L	16723719	16723722	-	3	16723721	151	81	16723720	16723722	3
2263	chr2L	16727701	16727836	-	35	16727791	4306	1377	16727768	16727817	50
2264	chr2L	16730957	16731061	-	31	16731005	2684	428	16730963	16731023	61
2265	chr2L	16731864	16731892	-	3	16731892	32	22	16731865	16731892	28
2266	chr2L	16732041	16732165	-	39	16732129	17289	5736	16732103	16732129	27
2267	chr2L	16738334	16738414	-	18	16738386	1553	308	16738343	16738387	45
2268	chr2L	16743054	16743166	-	26	16743096	4597	1954	16743075	16743100	26
2269	chr2L	16790717	16790718	-	1	16790718	249	249	16790718	16790718	1
2270	chr2L	16825147	16825245	-	32	16825181	3372	797	16825153	16825206	54
2271	chr2L	16834005	16834018	-	8	16834015	2500	1997	16834014	16834015	2
2272	chr2L	16879244	16879317	-	6	16879301	6	1	16879245	16879317	73
2273	chr2L	16887372	16887481	-	8	16887455	304	101	16887373	16887457	85
2274	chr2L	16887524	16887546	-	4	16887527	147	58	16887525	16887546	22
2275	chr2L	16887837	16888032	-	35	16887962	13398	9417	16887884	16887965	82
2276	chr2L	16902171	16902244	-	15	16902198	2224	366	16902172	16902214	43
2277	chr2L	16910238	16910435	-	31	16910390	1578	378	16910330	16910415	86
2278	chr2L	17013014	17013072	-	3	17013038	3	1	17013015	17013072	58
2279	chr2L	17048060	17048074	-	2	17048061	3	2	17048061	17048074	14
2280	chr2L	17260718	17260745	-	14	17260732	13549	12116	17260732	17260732	1
2281	chr2L	17354680	17354688	-	5	17354685	715	618	17354685	17354685	1
2282	chr2L	17384107	17384112	-	3	17384112	263	243	17384112	17384112	1
2283	chr2L	17410306	17410435	-	40	17410401	10642	3520	17410376	17410401	26
2284	chr2L	17428192	17428196	-	3	17428195	1752	1672	17428195	17428195	1
2285	chr2L	17445566	17445567	-	1	17445567	198	198	17445567	17445567	1
2286	chr2L	17450359	17450364	-	2	17450360	957	929	17450360	17450360	1
2287	chr2L	17472464	17472467	-	2	17472467	16	10	17472465	17472467	3
2288	chr2L	17472511	17472570	-	4	17472570	28	24	17472528	17472570	43
2289	chr2L	17473132	17473228	-	21	17473198	2473	1214	17473163	17473198	36
2290	chr2L	17475625	17475650	-	4	17475641	48	22	17475626	17475644	19
2291	chr2L	17477801	17477932	-	30	17477867	2485	450	17477822	17477871	50
2292	chr2L	17480987	17481028	-	8	17481021	544	236	17480994	17481028	35
2293	chr2L	17484194	17484302	-	22	17484261	3267	661	17484239	17484292	54
2294	chr2L	17497171	17497278	-	10	17497199	748	222	17497199	17497251	53
2295	chr2L	17498799	17498860	-	16	17498849	187	85	17498821	17498860	40
2296	chr2L	17500735	17500741	-	2	17500736	3	2	17500736	17500741	6
2297	chr2L	17500837	17500883	-	3	17500883	10	5	17500843	17500883	41
2298	chr2L	17500956	17501150	-	44	17501047	2639	799	17501047	17501097	51
2299	chr2L	17529081	17529084	-	2	17529082	2	1	17529082	17529084	3
2300	chr2L	17626321	17626362	-	4	17626357	4	1	17626322	17626362	41
2301	chr2L	17778360	17778361	-	1	17778361	186	186	17778361	17778361	1
2302	chr2L	18011446	18011574	-	21	18011490	874	201	18011484	18011516	33
2303	chr2L	18137955	18138081	-	15	18138078	775	259	18138019	18138078	60
2304	chr2L	18141205	18141209	-	3	18141206	38	24	18141206	18141208	3
2305	chr2L	18141789	18141793	-	2	18141790	250	148	18141790	18141793	4
2306	chr2L	18152371	18152413	-	8	18152410	1318	960	18152406	18152413	8
2307	chr2L	18158611	18158686	-	16	18158655	718	253	18158632	18158673	42
2308	chr2L	18184625	18184630	-	3	18184630	234	147	18184626	18184630	5
2309	chr2L	18209231	18209235	-	3	18209233	6	3	18209232	18209235	4
2310	chr2L	18257899	18257928	-	7	18257912	78	67	18257912	18257912	1
2311	chr2L	18275793	18275794	-	1	18275794	113	113	18275794	18275794	1
2312	chr2L	18285705	18285738	-	5	18285734	5	1	18285706	18285738	33
2313	chr2L	18357565	18357612	-	3	18357596	3	1	18357566	18357612	47
2314	chr2L	18359030	18359037	-	4	18359036	1360	691	18359036	18359037	2
2315	chr2L	18442771	18443289	-	119	18443223	192166	109115	18443219	18443224	6
2316	chr2L	18445866	18445868	-	2	18445868	71	53	18445867	18445868	2
2317	chr2L	18447725	18447727	-	2	18447726	7	4	18447726	18447727	2
2318	chr2L	18448259	18448262	-	2	18448260	36	18	18448260	18448262	3
2319	chr2L	18448667	18448670	-	2	18448668	53	30	18448668	18448670	3
2320	chr2L	18448848	18449000	-	25	18448954	2572	642	18448918	18448954	37
2321	chr2L	18454511	18454592	-	15	18454571	1528	382	18454548	18454583	36
2322	chr2L	18484433	18484511	-	10	18484438	778	294	18484438	18484495	58
2323	chr2L	18503967	18503975	-	5	18503973	313	165	18503968	18503973	6
2324	chr2L	18563182	18563203	-	5	18563201	1543	1323	18563201	18563201	1
2325	chr2L	18572291	18572301	-	6	18572297	2207	1878	18572297	18572297	1
2326	chr2L	18604957	18605025	-	11	18604961	1634	1230	18604961	18605009	49
2327	chr2L	18605228	18605275	-	15	18605263	396	79	18605229	18605272	44
2328	chr2L	18612196	18612281	-	11	18612206	400	139	18612206	18612263	58
2329	chr2L	18682040	18682070	-	8	18682051	514	146	18682041	18682070	30
2330	chr2L	18688751	18688843	-	12	18688796	575	222	18688765	18688826	62
2331	chr2L	18695168	18695221	-	7	18695218	15	5	18695169	18695221	53
2332	chr2L	18695272	18695451	-	23	18695388	773	235	18695388	18695448	61
2333	chr2L	18695636	18695672	-	3	18695639	24	13	18695637	18695672	36
2334	chr2L	18702956	18702960	-	2	18702960	74	48	18702957	18702960	4
2335	chr2L	18703025	18703124	-	9	18703101	756	241	18703046	18703101	56
2336	chr2L	18705543	18705545	-	2	18705545	56	38	18705544	18705545	2
2337	chr2L	18705616	18705731	-	16	18705689	5208	3204	18705689	18705703	15
2338	chr2L	18708490	18708648	-	37	18708569	6017	1329	18708555	18708589	35
2339	chr2L	18708779	18708793	-	2	18708780	2	1	18708780	18708793	14
2340	chr2L	18716663	18716665	-	2	18716665	3	2	18716664	18716665	2
2341	chr2L	18740112	18740122	-	2	18740113	2	1	18740113	18740122	10
2342	chr2L	18780791	18780815	-	2	18780792	2	1	18780792	18780815	24
2343	chr2L	18781507	18781531	-	4	18781515	508	182	18781508	18781531	24
2344	chr2L	18782512	18782513	-	1	18782513	135	135	18782513	18782513	1
2345	chr2L	18782699	18782706	-	2	18782700	179	137	18782700	18782706	7
2346	chr2L	18787443	18787475	-	3	18787471	645	466	18787444	18787471	28
2347	chr2L	18792905	18792909	-	2	18792906	435	339	18792906	18792909	4
2348	chr2L	18796193	18796195	-	2	18796194	243	221	18796194	18796194	1
2349	chr2L	18810933	18811008	-	18	18810979	57812	45262	18810979	18810983	5
2350	chr2L	18811070	18811130	-	11	18811127	965	281	18811100	18811127	28
2351	chr2L	18811249	18811279	-	4	18811257	193	91	18811250	18811279	30
2352	chr2L	18830635	18830693	-	15	18830637	1921	1324	18830637	18830672	36
2353	chr2L	18835608	18835610	-	2	18835609	28	15	18835609	18835610	2
2354	chr2L	18838930	18839007	-	4	18838968	142	86	18838931	18838983	53
2355	chr2L	18839250	18839269	-	3	18839267	115	74	18839251	18839269	19
2356	chr2L	18839350	18839405	-	5	18839405	119	30	18839351	18839405	55
2357	chr2L	18839520	18839710	-	37	18839649	5279	801	18839575	18839678	104
2358	chr2L	18844576	18844577	-	1	18844577	136	136	18844577	18844577	1
2359	chr2L	18857631	18857698	-	20	18857671	1257	186	18857643	18857685	43
2360	chr2L	18857799	18857852	-	4	18857840	24	16	18857819	18857852	34
2361	chr2L	18858387	18858389	-	2	18858388	51	32	18858388	18858389	2
2362	chr2L	18859032	18859041	-	2	18859041	74	49	18859033	18859041	9
2363	chr2L	18859204	18859274	-	20	18859239	2715	1222	18859221	18859249	29
2364	chr2L	18943866	18943993	-	36	18943944	1990	414	18943931	18943960	30
2365	chr2L	18951745	18951875	-	56	18951834	18875	2871	18951791	18951834	44
2366	chr2L	18954420	18954421	-	1	18954421	342	342	18954421	18954421	1
2367	chr2L	18957070	18957175	-	21	18957076	824	437	18957076	18957126	51
2368	chr2L	18968643	18968764	-	18	18968737	799	155	18968678	18968754	77
2369	chr2L	18974182	18974183	-	1	18974183	776	776	18974183	18974183	1
2370	chr2L	18974328	18974378	-	11	18974370	116	31	18974341	18974375	35
2371	chr2L	18987257	18987284	-	11	18987276	2862	2161	18987276	18987278	3
2372	chr2L	18995897	18995946	-	5	18995930	1642	1509	18995930	18995930	1
2373	chr2L	19008988	19008995	-	2	19008995	54	30	19008989	19008995	7
2374	chr2L	19009102	19009108	-	3	19009107	41	18	19009103	19009108	6
2375	chr2L	19009166	19009306	-	56	19009235	51448	12063	19009228	19009239	12
2376	chr2L	19033456	19033514	-	12	19033493	1228	636	19033481	19033495	15
2377	chr2L	19034428	19034635	-	31	19034611	1109	149	19034568	19034618	51
2378	chr2L	19044929	19044984	-	10	19044968	367	74	19044953	19044984	32
2379	chr2L	19045092	19045179	-	10	19045121	202	91	19045099	19045152	54
2380	chr2L	19051537	19051608	-	20	19051572	1083	174	19051563	19051602	40
2381	chr2L	19120293	19120302	-	4	19120298	373	236	19120298	19120302	5
2382	chr2L	19123604	19123682	-	15	19123641	46	10	19123609	19123671	63
2383	chr2L	19123780	19123876	-	21	19123857	7303	1904	19123836	19123863	28
2384	chr2L	19126907	19127022	-	21	19126933	968	171	19126927	19126975	49
2385	chr2L	19131846	19131965	-	29	19131949	4031	1321	19131924	19131953	30
2386	chr2L	19133429	19133515	-	30	19133461	4913	1269	19133447	19133505	59
2387	chr2L	19181686	19181718	-	4	19181687	208	127	19181687	19181708	22
2388	chr2L	19182671	19182677	-	4	19182672	54	45	19182672	19182676	5
2389	chr2L	19183587	19183625	-	6	19183623	69	59	19183619	19183623	5
2390	chr2L	19299854	19299888	-	3	19299886	3	1	19299855	19299888	34
2391	chr2L	19363222	19363224	-	2	19363224	294	275	19363224	19363224	1
2392	chr2L	19386161	19386204	-	5	19386199	1713	1312	19386199	19386202	4
2393	chr2L	19387697	19387738	-	2	19387738	57	34	19387698	19387738	41
2394	chr2L	19388130	19388260	-	9	19388131	385	109	19388131	19388260	130
2395	chr2L	19388568	19388570	-	2	19388569	1693	1666	19388569	19388569	1
2396	chr2L	19389611	19389620	-	4	19389616	887	739	19389616	19389616	1
2397	chr2L	19389788	19389812	-	6	19389792	5808	4858	19389790	19389792	3
2398	chr2L	19389932	19390069	-	17	19390063	45262	30724	19390063	19390068	6
2399	chr2L	19390161	19390165	-	2	19390165	42	22	19390162	19390165	4
2400	chr2L	19397353	19397359	-	3	19397357	127	74	19397354	19397359	6
2401	chr2L	19397612	19397638	-	2	19397613	50	27	19397613	19397638	26
2402	chr2L	19398020	19398050	-	2	19398021	42	22	19398021	19398050	30
2403	chr2L	19398408	19398409	-	1	19398409	117	117	19398409	19398409	1
2404	chr2L	19398486	19398492	-	5	19398491	2595	2238	19398490	19398491	2
2405	chr2L	19404686	19404687	-	1	19404687	128	128	19404687	19404687	1
2406	chr2L	19404781	19404785	-	3	19404785	811	497	19404782	19404785	4
2407	chr2L	19414472	19414474	-	2	19414473	371	339	19414473	19414473	1
2408	chr2L	19416503	19416508	-	2	19416504	682	604	19416504	19416508	5
2409	chr2L	19423544	19423549	-	2	19423549	586	564	19423549	19423549	1
2410	chr2L	19426403	19426631	-	25	19426434	1991	424	19426408	19426605	198
2411	chr2L	19438960	19438964	-	2	19438961	43	25	19438961	19438964	4
2412	chr2L	19441277	19441296	-	2	19441278	346	260	19441278	19441296	19
2413	chr2L	19444705	19444789	-	18	19444750	1374	618	19444719	19444760	42
2414	chr2L	19448579	19448597	-	2	19448580	64	37	19448580	19448597	18
2415	chr2L	19453354	19453558	-	42	19453482	16389	4552	19453473	19453494	22
2416	chr2L	19484666	19484701	-	5	19484667	280	133	19484667	19484697	31
2417	chr2L	19490063	19490101	-	9	19490096	670	241	19490079	19490101	23
2418	chr2L	19492883	19492977	-	15	19492938	645	122	19492904	19492963	60
2419	chr2L	19493185	19493206	-	4	19493186	93	29	19493186	19493206	21
2420	chr2L	19508530	19508534	-	2	19508534	46	26	19508531	19508534	4
2421	chr2L	19508739	19508782	-	10	19508760	874	461	19508743	19508763	21
2422	chr2L	19517150	19517222	-	18	19517188	3532	979	19517181	19517201	21
2423	chr2L	19526330	19526433	-	24	19526362	3853	802	19526358	19526391	34
2424	chr2L	19526543	19526568	-	3	19526566	3	1	19526544	19526568	25
2425	chr2L	19528266	19528319	-	7	19528319	2218	1609	19528314	19528319	6
2426	chr2L	19530251	19530301	-	8	19530301	212	37	19530252	19530301	50
2427	chr2L	19546958	19546959	-	1	19546959	233	233	19546959	19546959	1
2428	chr2L	19572606	19572610	-	2	19572607	116	97	19572607	19572610	4
2429	chr2L	19577246	19577330	-	18	19577310	1879	426	19577265	19577310	46
2430	chr2L	19580280	19580380	-	16	19580345	516	102	19580333	19580369	37
2431	chr2L	19582207	19582223	-	3	19582223	58	36	19582221	19582223	3
2432	chr2L	19582440	19582483	-	13	19582476	1155	280	19582457	19582476	20
2433	chr2L	19583932	19584027	-	9	19583976	134	34	19583953	19583991	39
2434	chr2L	19735907	19735983	-	18	19735973	2341	649	19735909	19735980	72
2435	chr2L	19742485	19742524	-	2	19742486	40	22	19742486	19742524	39
2436	chr2L	19756886	19756940	-	8	19756898	345	191	19756887	19756904	18
2437	chr2L	19758579	19758624	-	9	19758598	1314	352	19758592	19758620	29
2438	chr2L	19764132	19764133	-	1	19764133	891	891	19764133	19764133	1
2439	chr2L	19791834	19791915	-	15	19791880	1838	906	19791863	19791886	24
2440	chr2L	19795748	19795857	-	24	19795798	1704	436	19795794	19795851	58
2441	chr2L	19961043	19961047	-	2	19961044	168	128	19961044	19961047	4
2442	chr2L	19962349	19962352	-	2	19962352	110	88	19962350	19962352	3
2443	chr2L	19967677	19967687	-	5	19967683	1426	1287	19967683	19967683	1
2444	chr2L	20017295	20017296	-	1	20017296	185	185	20017296	20017296	1
2445	chr2L	20060821	20060998	-	31	20060912	1356	151	20060912	20060975	64
2446	chr2L	20065605	20065720	-	27	20065665	2317	308	20065625	20065689	65
2447	chr2L	20075124	20075127	-	2	20075127	97	75	20075125	20075127	3
2448	chr2L	20075188	20075232	-	5	20075232	261	83	20075189	20075232	44
2449	chr2L	20075406	20075477	-	20	20075452	2613	694	20075443	20075474	32
2450	chr2L	20085055	20085068	-	7	20085064	2266	1970	20085064	20085064	1
2451	chr2L	20091151	20091209	-	7	20091152	492	134	20091152	20091193	42
2452	chr2L	20093747	20093905	-	31	20093842	4707	2287	20093838	20093862	25
2453	chr2L	20097155	20097241	-	23	20097241	2440	500	20097201	20097241	41
2454	chr2L	20115975	20115980	-	3	20115976	600	499	20115976	20115977	2
2455	chr2L	20223175	20223176	-	1	20223176	1147	1147	20223176	20223176	1
2456	chr2L	20297290	20297294	-	2	20297294	3	2	20297291	20297294	4
2457	chr2L	20349896	20350045	-	49	20349979	9473	1942	20349952	20350000	49
2458	chr2L	20399393	20399394	-	1	20399394	163	163	20399394	20399394	1
2459	chr2L	20416717	20416774	-	10	20416737	543	221	20416722	20416767	46
2460	chr2L	20463371	20463460	-	14	20463397	1013	324	20463397	20463439	43
2461	chr2L	20473360	20473371	-	2	20473361	3	2	20473361	20473371	11
2462	chr2L	20643233	20643276	-	3	20643236	10	8	20643236	20643236	1
2463	chr2L	20645351	20645365	-	2	20645352	38	19	20645352	20645365	14
2464	chr2L	20645447	20645450	-	2	20645450	98	59	20645448	20645450	3
2465	chr2L	20645754	20645770	-	4	20645759	130	53	20645755	20645770	16
2466	chr2L	20651974	20652022	-	3	20651975	160	59	20651975	20652022	48
2467	chr2L	20656144	20656183	-	8	20656156	475	148	20656153	20656180	28
2468	chr2L	20675840	20675880	-	2	20675841	2	1	20675841	20675880	40
2469	chr2L	20675950	20676006	-	12	20675962	697	421	20675962	20675999	38
2470	chr2L	20681653	20681706	-	11	20681672	613	133	20681654	20681704	51
2471	chr2L	20681810	20681847	-	5	20681847	107	34	20681812	20681847	36
2472	chr2L	20734190	20734327	-	43	20734301	5148	1198	20734267	20734303	37
2473	chr2L	20750857	20750861	-	2	20750858	115	94	20750858	20750861	4
2474	chr2L	20752222	20752275	-	6	20752223	253	72	20752223	20752275	53
2475	chr2L	20757802	20757892	-	16	20757849	1136	313	20757834	20757860	27
2476	chr2L	20794136	20794199	-	8	20794141	2973	2280	20794141	20794144	4
2477	chr2L	20797039	20797045	-	2	20797040	572	549	20797040	20797040	1
2478	chr2L	20830067	20830080	-	2	20830068	62	35	20830068	20830080	13
2479	chr2L	20837992	20837998	-	4	20837995	1344	1235	20837995	20837995	1
2480	chr2L	20885973	20885976	-	2	20885976	908	837	20885976	20885976	1
2481	chr2L	20890392	20890393	-	1	20890393	315	315	20890393	20890393	1
2482	chr2L	20917450	20917456	-	4	20917453	4636	2982	20917451	20917454	4
2483	chr2L	20918840	20918943	-	20	20918915	1620	333	20918891	20918928	38
2484	chr2L	20922867	20922934	-	7	20922868	211	68	20922868	20922934	67
2485	chr2L	20926067	20926187	-	31	20926115	3505	1041	20926112	20926148	37
2486	chr2L	20927786	20927870	-	21	20927815	1498	321	20927808	20927847	40
2487	chr2L	21051928	21051979	-	8	21051978	2521	1950	21051951	21051978	28
2488	chr2L	21102373	21102451	-	23	21102399	2173	265	21102391	21102448	58
2489	chr2L	21142267	21142349	-	21	21142314	1089	216	21142295	21142345	51
2490	chr2L	21148361	21148428	-	18	21148394	2549	1385	21148388	21148412	25
2491	chr2L	21156163	21156287	-	29	21156221	1330	219	21156202	21156248	47
2492	chr2L	21158566	21158650	-	9	21158588	295	116	21158578	21158608	31
2493	chr2L	21158848	21158853	-	2	21158849	4	3	21158849	21158853	5
2494	chr2L	21163025	21163114	-	22	21163055	1717	287	21163042	21163093	52
2495	chr2L	21166551	21166636	-	18	21166561	998	134	21166556	21166626	71
2496	chr2L	21169401	21169449	-	4	21169446	9	6	21169402	21169449	48
2497	chr2L	21179616	21179703	-	20	21179675	2377	429	21179646	21179700	55
2498	chr2L	21200021	21200098	-	9	21200065	47	15	21200037	21200098	62
2499	chr2L	21200246	21200348	-	6	21200348	7	2	21200247	21200348	102
2500	chr2L	21202476	21202487	-	2	21202477	2	1	21202477	21202487	11
2501	chr2L	21202720	21202728	-	4	21202724	9	5	21202721	21202728	8
2502	chr2L	21215173	21215178	-	2	21215178	78	68	21215174	21215178	5
2503	chr2L	21218478	21218567	-	13	21218538	781	133	21218481	21218540	60
2504	chr2L	21220477	21220610	-	25	21220535	1268	225	21220521	21220569	49
2505	chr2L	21284073	21284147	-	4	21284120	178	111	21284074	21284147	74
2506	chr2L	21284197	21284224	-	2	21284224	100	58	21284198	21284224	27
2507	chr2L	21309485	21309486	-	1	21309486	567	567	21309486	21309486	1
2508	chr2L	21309975	21310069	-	22	21310032	1573	292	21309997	21310050	54
2509	chr2L	21404000	21404001	-	1	21404001	119	119	21404001	21404001	1
2510	chr2L	21540965	21540969	-	3	21540967	1234	1168	21540967	21540967	1
2511	chr2L	21577672	21577694	-	2	21577673	2	1	21577673	21577694	22
2512	chr2L	21618771	21618772	-	1	21618772	573	573	21618772	21618772	1
2513	chr2L	21623593	21623623	-	8	21623621	825	683	21623621	21623621	1
2514	chr2L	21627206	21627242	-	3	21627207	160	63	21627207	21627242	36
2515	chr2L	21627380	21627466	-	9	21627401	569	316	21627401	21627466	66
2516	chr2L	21627624	21627644	-	4	21627626	108	53	21627625	21627644	20
2517	chr2L	21628015	21628087	-	4	21628081	119	37	21628016	21628087	72
2518	chr2L	21628132	21628135	-	2	21628135	254	221	21628133	21628135	3
2519	chr2L	21629829	21629998	-	30	21629928	5310	2699	21629924	21629948	25
2520	chr2L	21677535	21677585	-	8	21677565	305	85	21677545	21677585	41
2521	chr2L	21680169	21680173	-	4	21680172	386	256	21680170	21680172	3
2522	chr2L	21681200	21681256	-	5	21681202	135	37	21681201	21681256	56
2523	chr2L	21681416	21681471	-	3	21681471	81	33	21681417	21681471	55
2524	chr2L	21682051	21682216	-	49	21682112	59816	18270	21682108	21682115	8
2525	chr2L	21753719	21753722	-	3	21753721	1003	945	21753721	21753721	1
2526	chr2L	21757367	21757461	-	23	21757394	1284	206	21757394	21757456	63
2527	chr2L	21795442	21795445	-	3	21795443	125	62	21795443	21795445	3
2528	chr2L	22043849	22043895	-	8	22043865	24	6	22043858	22043895	38
2529	chr2L	22105508	22105512	-	3	22105511	44	42	22105511	22105511	1
2530	chr2L	22107269	22107311	-	3	22107281	3	1	22107270	22107311	42
2531	chr2L	22129812	22129923	-	26	22129908	1661	214	22129831	22129908	78
2532	chr2L	22130070	22130174	-	18	22130153	899	191	22130082	22130153	72
2533	chr2L	22130577	22130589	-	3	22130583	156	97	22130578	22130589	12
2534	chr2L	22168594	22168600	-	3	22168598	230	151	22168595	22168600	6
2535	chr2L	22169070	22169201	-	35	22169128	4963	598	22169102	22169165	64
2536	chr2L	22219331	22219332	-	1	22219332	90	90	22219332	22219332	1
2537	chr2L	22247469	22247611	-	13	22247574	576	124	22247486	22247575	90
2538	chr2L	22247720	22247923	-	53	22247827	128518	76084	22247822	22247827	6
2539	chr2L	22334171	22334172	-	1	22334172	178	178	22334172	22334172	1
2540	chr2L	22535677	22535685	-	4	22535685	176	77	22535678	22535685	8
2541	chr2L	22535785	22535937	-	14	22535901	1034	318	22535813	22535902	90
2542	chr2L	22536363	22536380	-	2	22536380	382	364	22536380	22536380	1
2543	chr2L	22536559	22536690	-	37	22536645	23091	11582	22536636	22536648	13
2544	chr2L	22536838	22536877	-	2	22536839	21	14	22536839	22536877	39
2545	chr2L	22576867	22576888	-	4	22576888	111	37	22576868	22576888	21
2546	chr2L	22798196	22798246	-	12	22798241	2412	1420	22798226	22798244	19
2547	chr2L	22921133	22921135	-	2	22921134	313	292	22921134	22921134	1
2548	chr2L	23068192	23068418	-	39	23068335	6284	931	23068332	23068382	51
2549	chr2L	23174131	23174145	-	5	23174143	151	57	23174132	23174145	14
2550	chr2L	23174288	23174425	-	29	23174335	3886	529	23174332	23174391	60
2551	chr2L	23174660	23174682	-	2	23174661	60	31	23174661	23174682	22
2552	chr2L	23313029	23313080	-	3	23313051	49	30	23313030	23313080	51
2553	chr2L	23313450	23313660	-	70	23313554	7819	1198	23313549	23313608	60
2554	chr2L	23358064	23358079	-	2	23358065	78	54	23358065	23358079	15
2555	chr2R	981695	981696	+	1	981696	155	155	981696	981696	1
2556	chr2R	1071931	1072063	+	39	1072013	9172	1614	1071980	1072031	52
2557	chr2R	1072162	1072308	+	13	1072246	1660	982	1072192	1072294	103
2558	chr2R	1211130	1211153	+	3	1211153	80	37	1211131	1211153	23
2559	chr2R	1211548	1211584	+	6	1211577	450	143	1211549	1211584	36
2560	chr2R	1264126	1264128	+	2	1264127	46	25	1264127	1264128	2
2561	chr2R	1264366	1264491	+	34	1264396	5927	2057	1264393	1264450	58
2562	chr2R	1264546	1264703	+	12	1264594	566	128	1264578	1264664	87
2563	chr2R	1264756	1264827	+	8	1264806	244	47	1264757	1264826	70
2564	chr2R	1367461	1367518	+	3	1367498	3	1	1367462	1367518	57
2565	chr2R	1590483	1590644	+	39	1590580	7143	2116	1590575	1590609	35
2566	chr2R	1590688	1590737	+	7	1590689	34	10	1590689	1590737	49
2567	chr2R	1727620	1727657	+	3	1727629	3	1	1727621	1727657	37
2568	chr2R	2118532	2118565	+	5	2118540	376	193	2118533	2118552	20
2569	chr2R	2169227	2169237	+	10	2169237	2139	582	2169231	2169237	7
2570	chr2R	2856950	2856988	+	5	2856988	196	102	2856951	2856988	38
2571	chr2R	4012871	4012892	+	2	4012892	88	52	4012872	4012892	21
2572	chr2R	4014079	4014180	+	23	4014123	2689	697	4014116	4014156	41
2573	chr2R	4130953	4131050	+	17	4130993	3239	1033	4130980	4131015	36
2574	chr2R	4150536	4150537	+	1	4150537	108	108	4150537	4150537	1
2575	chr2R	4261791	4261792	+	1	4261792	137	137	4261792	4261792	1
2576	chr2R	4546664	4546757	+	25	4546704	3513	1438	4546689	4546728	40
2577	chr2R	4546870	4546900	+	3	4546882	139	65	4546871	4546900	30
2578	chr2R	4546954	4546980	+	4	4546958	90	25	4546955	4546980	26
2579	chr2R	4595261	4595356	+	27	4595293	3671	403	4595293	4595346	54
2580	chr2R	4618989	4619090	+	29	4619039	2973	805	4619010	4619070	61
2581	chr2R	4619153	4619156	+	2	4619154	37	19	4619154	4619156	3
2582	chr2R	4671846	4671919	+	24	4671857	3024	842	4671855	4671898	44
2583	chr2R	4730474	4730481	+	2	4730481	48	27	4730475	4730481	7
2584	chr2R	4744310	4744376	+	6	4744360	230	151	4744327	4744360	34
2585	chr2R	4744421	4744499	+	13	4744465	1699	665	4744449	4744495	47
2586	chr2R	4749219	4749222	+	2	4749220	81	63	4749220	4749222	3
2587	chr2R	4782892	4782977	+	11	4782912	498	75	4782893	4782971	79
2588	chr2R	4829210	4829362	+	45	4829283	19723	11357	4829251	4829286	36
2589	chr2R	4948664	4948672	+	2	4948665	78	61	4948665	4948672	8
2590	chr2R	5086019	5086030	+	3	5086026	129	66	5086020	5086030	11
2591	chr2R	5090555	5090668	+	22	5090617	1545	252	5090580	5090634	55
2592	chr2R	5144701	5144805	+	26	5144792	2164	579	5144735	5144792	58
2593	chr2R	5258972	5258994	+	6	5258983	339	112	5258975	5258988	14
2594	chr2R	5259042	5259054	+	2	5259054	39	21	5259043	5259054	12
2595	chr2R	5259402	5259420	+	2	5259420	77	51	5259403	5259420	18
2596	chr2R	5259584	5259646	+	10	5259646	359	50	5259585	5259646	62
2597	chr2R	5294036	5294138	+	29	5294090	1875	427	5294054	5294111	58
2598	chr2R	5307249	5307351	+	30	5307305	5059	1470	5307286	5307324	39
2599	chr2R	5350429	5350500	+	6	5350493	197	56	5350430	5350500	71
2600	chr2R	5350705	5350802	+	17	5350756	2002	326	5350735	5350765	31
2601	chr2R	5353961	5353978	+	3	5353978	7	5	5353962	5353978	17
2602	chr2R	5354047	5354077	+	2	5354048	4	2	5354048	5354077	30
2603	chr2R	5363476	5363488	+	2	5363477	38	19	5363477	5363488	12
2604	chr2R	5413747	5413748	+	1	5413748	166	166	5413748	5413748	1
2605	chr2R	5527175	5527197	+	4	5527176	132	47	5527176	5527197	22
2606	chr2R	5608603	5608682	+	23	5608647	5958	1773	5608630	5608660	31
2607	chr2R	5653600	5653739	+	21	5653682	3002	759	5653677	5653707	31
2608	chr2R	5653841	5653863	+	3	5653842	75	30	5653842	5653863	22
2609	chr2R	5664834	5664955	+	8	5664866	230	48	5664864	5664955	92
2610	chr2R	5668627	5668686	+	3	5668665	3	1	5668628	5668686	59
2611	chr2R	5671738	5671830	+	27	5671742	5440	1051	5671742	5671807	66
2612	chr2R	5697821	5697910	+	25	5697904	5731	1397	5697849	5697904	56
2613	chr2R	5702083	5702170	+	26	5702117	3042	764	5702110	5702162	53
2614	chr2R	5702534	5702652	+	7	5702652	8	2	5702535	5702652	118
2615	chr2R	5754491	5754584	+	20	5754533	2183	699	5754517	5754551	35
2616	chr2R	5757599	5757738	+	60	5757688	8345	1384	5757660	5757702	43
2617	chr2R	5760841	5760917	+	26	5760874	2941	503	5760851	5760895	45
2618	chr2R	5981843	5981974	+	36	5981881	8708	2272	5981852	5981903	52
