#gene_ID	consensus_cluster_ID	cluster_in_bam	gene_name
FBgn0000052	cluster2029	clusterTSS_bam_1655	ade2
FBgn0030301	cluster14977	clusterTSS_bam_12404	HP5
FBgn0030318	cluster14994	clusterTSS_bam_12421	rho-4
FBgn0030332	cluster16293	clusterTSS_bam_13638	CG9360
FBgn0030334	cluster15015	clusterTSS_bam_12443	Karl
FBgn0030336	cluster16300	clusterTSS_bam_13647	CG1578
FBgn0030360	cluster15031	clusterTSS_bam_12460	CG1806
FBgn0030396	cluster15058	clusterTSS_bam_12479	CG2556
FBgn0030432	cluster16357	clusterTSS_bam_13694	CG4404
FBgn0030479	cluster16382	clusterTSS_bam_13717	Rbp1-like
FBgn0030501	cluster15121	clusterTSS_bam_12542	BthD
FBgn0030505	cluster15125	clusterTSS_bam_12546	NFAT
FBgn0030512	cluster16398	clusterTSS_bam_13731	CG9940
FBgn0030519	cluster15136	clusterTSS_bam_12555	CG11151
FBgn0030520	cluster16407	clusterTSS_bam_13740	Pdcd4
FBgn0030529	cluster16416	clusterTSS_bam_13746	Clic
FBgn0030574	cluster16443	clusterTSS_bam_13771	CG9413
FBgn0030603	cluster15181	clusterTSS_bam_12595	CG5541
FBgn0030608	cluster16461	clusterTSS_bam_13784	Lsd-2
FBgn0030612	cluster15183	clusterTSS_bam_12599	CG5599
FBgn0030616	cluster16469	clusterTSS_bam_13793	RpL37a
FBgn0030655	cluster16495	clusterTSS_bam_13807	CG9213
FBgn0030664	cluster15224	clusterTSS_bam_12639	CG8119
FBgn0030667	cluster16509	clusterTSS_bam_13820	CG15599
FBgn0030674	cluster15233	clusterTSS_bam_12647	CG8184
FBgn0030710	cluster15269	clusterTSS_bam_12685	CG8924
FBgn0030724	cluster16553	clusterTSS_bam_13866	Nipsnap
FBgn0030740	cluster16571	clusterTSS_bam_13885	CG9917
FBgn0030747	cluster15301	clusterTSS_bam_12718	CG4301
FBgn0030749	cluster16581	clusterTSS_bam_13894	AnxB11
FBgn0030808	cluster15339	clusterTSS_bam_12759	RhoGAP15B
FBgn0030851	cluster16658	clusterTSS_bam_13966	CG8326
FBgn0030854	cluster16660	clusterTSS_bam_13968	CG8289
FBgn0030870	cluster15373	clusterTSS_bam_12790	CG6398
FBgn0030872	cluster15375	clusterTSS_bam_12792	Ucp4A
FBgn0030890	cluster16687	clusterTSS_bam_13996	CG7536
FBgn0030899	cluster16699	clusterTSS_bam_14008	Her
FBgn0030925	cluster16714	clusterTSS_bam_14018	Hayan
FBgn0030927	cluster16715	clusterTSS_bam_14019	CG15046
FBgn0030938	cluster15399	clusterTSS_bam_12816	CG15047
FBgn0030941	cluster16726	clusterTSS_bam_14023	wgn
FBgn0030955	cluster15405	clusterTSS_bam_12821	CG6891
FBgn0030964	cluster15410	clusterTSS_bam_12827	Pvf1
FBgn0030966	cluster16743	clusterTSS_bam_14037	CG7280
FBgn0030970	cluster16745	clusterTSS_bam_14039	CG7326
FBgn0030974	cluster16747	clusterTSS_bam_14041	CG7358
FBgn0030994	cluster15423	clusterTSS_bam_12840	HP1D3csd
FBgn0031002	cluster16767	clusterTSS_bam_14060	CG14196
FBgn0031011	cluster16772	clusterTSS_bam_14066	CG8034
FBgn0031016	cluster15427	clusterTSS_bam_12845	kek5
FBgn0031030	cluster16793	clusterTSS_bam_14083	Tao
FBgn0031031	cluster16795	clusterTSS_bam_14085	CG14218
FBgn0031062	cluster15475	clusterTSS_bam_12897	CG14230
FBgn0031069	cluster15481	clusterTSS_bam_12903	Pmp70
FBgn0031074	cluster16821	clusterTSS_bam_14117	SkpE
FBgn0031078	cluster15485	clusterTSS_bam_12907	Nup205
FBgn0031098	cluster16837	clusterTSS_bam_14132	CG17068
FBgn0031117	cluster15506	clusterTSS_bam_12930	GstT3
FBgn0031118	cluster16850	clusterTSS_bam_14143	RhoGAP19D
FBgn0031126	cluster15513	clusterTSS_bam_12933	Cyp6v1
FBgn0031148	cluster15525	clusterTSS_bam_12940	Cbs
FBgn0031149	cluster16873	clusterTSS_bam_14157	CG1518
FBgn0031261	cluster55	clusterTSS_bam_51	nAChRbeta3
FBgn0031267	cluster1638	clusterTSS_bam_1337	Ipk2
FBgn0031268	cluster61	clusterTSS_bam_57	cold
FBgn0031286	cluster1644	clusterTSS_bam_1343	CG3862
FBgn0031313	cluster1668	clusterTSS_bam_1365	CG5080
FBgn0031318	cluster101	clusterTSS_bam_88	CG4887
FBgn0031320	cluster1673	clusterTSS_bam_1368	CG5126
FBgn0031321	cluster103	clusterTSS_bam_90	Tgt
FBgn0031322	cluster104	clusterTSS_bam_91	CG5001
FBgn0031359	cluster1700	clusterTSS_bam_1384	Rim2
FBgn0031398	cluster1731	clusterTSS_bam_1408	CG10880
FBgn0031413	cluster1746	clusterTSS_bam_1414	CG9967
FBgn0031446	cluster1774	clusterTSS_bam_1434	CG15398
FBgn0031453	cluster192	clusterTSS_bam_159	Bacc
FBgn0031515	cluster1837	clusterTSS_bam_1494	CG9664
FBgn0031540	cluster1848	clusterTSS_bam_1505	CG3238
FBgn0031571	cluster278	clusterTSS_bam_227	CG3921
FBgn0031579	cluster288	clusterTSS_bam_235	CG15422
FBgn0031589	cluster1883	clusterTSS_bam_1534	CG3714
FBgn0031622	cluster1911	clusterTSS_bam_1559	CG3251
FBgn0031632	cluster329	clusterTSS_bam_270	CG15628
FBgn0031645	cluster337	clusterTSS_bam_278	CG3036
FBgn0031663	cluster1940	clusterTSS_bam_1584	CG8891
FBgn0031693	cluster386	clusterTSS_bam_323	Cyp4ac1
FBgn0031703	cluster1979	clusterTSS_bam_1621	CG12512
FBgn0031738	cluster1998	clusterTSS_bam_1633	CG9171
FBgn0031739	cluster1999	clusterTSS_bam_1634	CG14005
FBgn0031745	cluster2002	clusterTSS_bam_1635	rau
FBgn0031769	cluster451	clusterTSS_bam_384	CG9135
FBgn0031781	cluster467	clusterTSS_bam_401	Arpc4
FBgn0031813	cluster2052	clusterTSS_bam_1671	CG9527
FBgn0031836	cluster500	clusterTSS_bam_430	CG11050
FBgn0031868	cluster520	clusterTSS_bam_446	Rat1
FBgn0031872	cluster2118	clusterTSS_bam_1724	ihog
FBgn0031874	cluster2121	clusterTSS_bam_1726	CG13775
FBgn0031904	cluster2158	clusterTSS_bam_1758	CG5149
FBgn0031906	cluster2161	clusterTSS_bam_1763	CG5160
FBgn0031913	cluster2163	clusterTSS_bam_1765	CG5958
FBgn0031974	cluster2195	clusterTSS_bam_1796	CG12560
FBgn0031980	cluster2198	clusterTSS_bam_1799	RpL36A
FBgn0031985	cluster2204	clusterTSS_bam_1804	mon2
FBgn0031998	cluster2217	clusterTSS_bam_1818	SLC5A11
FBgn0032006	cluster2225	clusterTSS_bam_1829	Pvr
FBgn0032025	cluster644	clusterTSS_bam_561	CG7778
FBgn0032026	cluster2239	clusterTSS_bam_1840	CG7627
FBgn0032036	cluster653	clusterTSS_bam_572	CG13384
FBgn0032078	cluster2280	clusterTSS_bam_1875	C1GalTA
FBgn0032089	cluster2287	clusterTSS_bam_1883	Rcd-1r
FBgn0032129	cluster2313	clusterTSS_bam_1901	jp
FBgn0032138	cluster2325	clusterTSS_bam_1907	CG4364
FBgn0032140	cluster754	clusterTSS_bam_651	CG13117
FBgn0032154	cluster2330	clusterTSS_bam_1912	mtDNA-helicase
FBgn0032161	cluster766	clusterTSS_bam_663	CG4594
FBgn0032167	cluster2345	clusterTSS_bam_1927	CG5853
FBgn0032168	cluster2346	clusterTSS_bam_1928	CG13126
FBgn0032178	cluster796	clusterTSS_bam_692	Spn31A
FBgn0032197	cluster2368	clusterTSS_bam_1949	CG5694
FBgn0032228	cluster2393	clusterTSS_bam_1969	CG5367
FBgn0032256	cluster860	clusterTSS_bam_752	RluA-2
FBgn0032295	cluster883	clusterTSS_bam_771	CG12299
FBgn0032297	cluster2433	clusterTSS_bam_2003	CG17124
FBgn0032298	cluster2437	clusterTSS_bam_2007	CG6724
FBgn0032340	cluster2476	clusterTSS_bam_2039	Ge-1
FBgn0032341	cluster2477	clusterTSS_bam_2040	Reps
FBgn0032350	cluster2484	clusterTSS_bam_2047	CG6287
FBgn0032400	cluster2532	clusterTSS_bam_2081	CG6770
FBgn0032405	cluster2539	clusterTSS_bam_2086	CG14946
FBgn0032408	cluster2543	clusterTSS_bam_2087	CG6712
FBgn0032430	cluster982	clusterTSS_bam_849	CG6388
FBgn0032475	cluster2603	clusterTSS_bam_2137	Sfmbt
FBgn0032521	cluster1051	clusterTSS_bam_899	CG7110
FBgn0032587	cluster2783	clusterTSS_bam_2255	CG5953
FBgn0032612	cluster2800	clusterTSS_bam_2271	CG13282
FBgn0032620	cluster2807	clusterTSS_bam_2276	CG12288
FBgn0032629	cluster2820	clusterTSS_bam_2280	beat-IIIc
FBgn0032681	cluster2879	clusterTSS_bam_2322	CG10283
FBgn0032682	cluster1301	clusterTSS_bam_1069	CG10176
FBgn0032694	cluster1304	clusterTSS_bam_1072	MESR3
FBgn0032701	cluster1314	clusterTSS_bam_1079	CG10341
FBgn0032713	cluster1321	clusterTSS_bam_1085	CG17323
FBgn0032715	cluster2913	clusterTSS_bam_2352	CG17597
FBgn0032731	cluster2931	clusterTSS_bam_2371	Swip-1
FBgn0032772	cluster1359	clusterTSS_bam_1118	CG17350
FBgn0032775	cluster2965	clusterTSS_bam_2404	CG17544
FBgn0032796	cluster2979	clusterTSS_bam_2421	CG10188
FBgn0032805	cluster2986	clusterTSS_bam_2427	CG10337
FBgn0032819	cluster1390	clusterTSS_bam_1149	CG10463
FBgn0032870	cluster1432	clusterTSS_bam_1179	CG2608
FBgn0032881	cluster3053	clusterTSS_bam_2474	CG9319
FBgn0032919	cluster1489	clusterTSS_bam_1225	CG9253
FBgn0032925	cluster1492	clusterTSS_bam_1229	CG9246
FBgn0032929	cluster1499	clusterTSS_bam_1233	Mcm10
FBgn0032934	cluster3100	clusterTSS_bam_2503	CG8679
FBgn0033051	cluster4995	clusterTSS_bam_4057	Strica
FBgn0033075	cluster3292	clusterTSS_bam_2630	Pld
FBgn0033079	cluster5030	clusterTSS_bam_4083	Fmo-2
FBgn0033117	cluster3332	clusterTSS_bam_2662	CG3358
FBgn0033196	cluster5124	clusterTSS_bam_4164	CG1358
FBgn0033236	cluster5169	clusterTSS_bam_4209	CG14764
FBgn0033268	cluster5192	clusterTSS_bam_4229	Obp44a
FBgn0033313	cluster3475	clusterTSS_bam_2781	Cirl
FBgn0033374	cluster5272	clusterTSS_bam_4274	CG13741
FBgn0033379	cluster5276	clusterTSS_bam_4277	Mys45A
FBgn0033387	cluster5288	clusterTSS_bam_4286	CG8008
FBgn0033431	cluster3561	clusterTSS_bam_2860	CG1827
FBgn0033438	cluster5335	clusterTSS_bam_4327	Mmp2
FBgn0033443	cluster3574	clusterTSS_bam_2868	CG1698
FBgn0033465	cluster3592	clusterTSS_bam_2883	Etf-QO
FBgn0033483	cluster3613	clusterTSS_bam_2904	egr
FBgn0033485	cluster5381	clusterTSS_bam_4370	RpLP0-like
FBgn0033557	cluster3687	clusterTSS_bam_2965	CG12325
FBgn0033609	cluster5467	clusterTSS_bam_4432	Fbl6
FBgn0033615	cluster3715	clusterTSS_bam_2984	CG7741
FBgn0033627	cluster3720	clusterTSS_bam_2988	CG13204
FBgn0033636	cluster5486	clusterTSS_bam_4451	tou
FBgn0033638	cluster5491	clusterTSS_bam_4456	CG9005
FBgn0033654	cluster5497	clusterTSS_bam_4461	Sobp
FBgn0033661	cluster5501	clusterTSS_bam_4464	CG13185
FBgn0033699	cluster5536	clusterTSS_bam_4500	RpS11
FBgn0033710	cluster3800	clusterTSS_bam_3059	CG17739
FBgn0033717	cluster5552	clusterTSS_bam_4505	CG8839
FBgn0033739	cluster3816	clusterTSS_bam_3073	Dyb
FBgn0033741	cluster3819	clusterTSS_bam_3076	CG8545
FBgn0033761	cluster5581	clusterTSS_bam_4525	CG8778
FBgn0033766	cluster5586	clusterTSS_bam_4528	CG8771
FBgn0033773	cluster5588	clusterTSS_bam_4530	mos
FBgn0033782	cluster3859	clusterTSS_bam_3112	sug
FBgn0033787	cluster3863	clusterTSS_bam_3115	CG13321
FBgn0033788	cluster5620	clusterTSS_bam_4565	CG13323
FBgn0033846	cluster3895	clusterTSS_bam_3147	mip120
FBgn0033859	cluster3903	clusterTSS_bam_3152	fand
FBgn0033875	cluster3916	clusterTSS_bam_3160	CG6357
FBgn0033901	cluster3945	clusterTSS_bam_3189	O-fut1
FBgn0033921	cluster5732	clusterTSS_bam_4662	tej
FBgn0033926	cluster5739	clusterTSS_bam_4669	Arc1
FBgn0033994	cluster4015	clusterTSS_bam_3248	CG7544
FBgn0034021	cluster5819	clusterTSS_bam_4728	CG8180
FBgn0034067	cluster4071	clusterTSS_bam_3294	CG8399
FBgn0034073	cluster5870	clusterTSS_bam_4778	CG8414
FBgn0034093	cluster5886	clusterTSS_bam_4791	CG15706
FBgn0034138	cluster5911	clusterTSS_bam_4808	RpS15
FBgn0034140	cluster5912	clusterTSS_bam_4809	CG8317
FBgn0034142	cluster5915	clusterTSS_bam_4812	CG8306
FBgn0034177	cluster4165	clusterTSS_bam_3371	CG6796
FBgn0034187	cluster4173	clusterTSS_bam_3378	CG6967
FBgn0034191	cluster4174	clusterTSS_bam_3379	CG6984
FBgn0034194	cluster4177	clusterTSS_bam_3381	CG15611
FBgn0034225	cluster4200	clusterTSS_bam_3405	veil
FBgn0034255	cluster6022	clusterTSS_bam_4902	Oxp
FBgn0034259	cluster6023	clusterTSS_bam_4903	P32
FBgn0034304	cluster6059	clusterTSS_bam_4936	CG5742
FBgn0034354	cluster4324	clusterTSS_bam_3527	GstE11
FBgn0034365	cluster4331	clusterTSS_bam_3532	CG5335
FBgn0034394	cluster6114	clusterTSS_bam_4983	CG15096
FBgn0034432	cluster4382	clusterTSS_bam_3569	CG7461
FBgn0034439	cluster4392	clusterTSS_bam_3572	CG10062
FBgn0034496	cluster6193	clusterTSS_bam_5050	CG9143
FBgn0034497	cluster6194	clusterTSS_bam_5051	CG9090
FBgn0034528	cluster6212	clusterTSS_bam_5067	CG11180
FBgn0034540	cluster4475	clusterTSS_bam_3630	Lrt
FBgn0034602	cluster4526	clusterTSS_bam_3677	Lapsyn
FBgn0034606	cluster6254	clusterTSS_bam_5097	ASPP
FBgn0034628	cluster4541	clusterTSS_bam_3691	Acox57D-p
FBgn0034629	cluster4542	clusterTSS_bam_3692	Acox57D-d
FBgn0034644	cluster4556	clusterTSS_bam_3706	CG10082
FBgn0034694	cluster4601	clusterTSS_bam_3742	CG6613
FBgn0034718	cluster6345	clusterTSS_bam_5166	wdp
FBgn0034723	cluster4621	clusterTSS_bam_3756	CG13506
FBgn0034733	cluster4627	clusterTSS_bam_3761	CG4752
FBgn0034761	cluster4649	clusterTSS_bam_3780	CG4250
FBgn0034802	cluster6404	clusterTSS_bam_5224	CG3800
FBgn0034837	cluster6423	clusterTSS_bam_5241	RpL22-like
FBgn0034903	cluster6478	clusterTSS_bam_5284	CG9850
FBgn0034968	cluster4808	clusterTSS_bam_3911	RpL12
FBgn0034985	cluster4825	clusterTSS_bam_3928	CG3328
FBgn0034988	cluster4832	clusterTSS_bam_3935	cN-IIIB
FBgn0034997	cluster4837	clusterTSS_bam_3940	CG3376
FBgn0035016	cluster6557	clusterTSS_bam_5361	CG4612
FBgn0035027	cluster4865	clusterTSS_bam_3967	CG3511
FBgn0035063	cluster4881	clusterTSS_bam_3984	Eap
FBgn0035082	cluster6594	clusterTSS_bam_5391	CG2811
FBgn0035085	cluster4895	clusterTSS_bam_3994	CG3770
FBgn0035101	cluster6627	clusterTSS_bam_5421	p130CAS
FBgn0035148	cluster8335	clusterTSS_bam_6810	CG3402
FBgn0035153	cluster8342	clusterTSS_bam_6817	ebd1
FBgn0035158	cluster8344	clusterTSS_bam_6819	CG13895
FBgn0035162	cluster8352	clusterTSS_bam_6825	CG13900
FBgn0035181	cluster6689	clusterTSS_bam_5473	CG9205
FBgn0035186	cluster6691	clusterTSS_bam_5474	CG13912
FBgn0035213	cluster8377	clusterTSS_bam_6847	CG2199
FBgn0035246	cluster8401	clusterTSS_bam_6865	CG13928
FBgn0035383	cluster6836	clusterTSS_bam_5590	CG2107
FBgn0035444	cluster6903	clusterTSS_bam_5661	CG12012
FBgn0035480	cluster8590	clusterTSS_bam_7023	CG14984
FBgn0035482	cluster6930	clusterTSS_bam_5685	CG14985
FBgn0035490	cluster6935	clusterTSS_bam_5690	CG1136
FBgn0035499	cluster8615	clusterTSS_bam_7041	Chd64
FBgn0035523	cluster6955	clusterTSS_bam_5708	CG1311
FBgn0035541	cluster8637	clusterTSS_bam_7058	CG15019
FBgn0035600	cluster7003	clusterTSS_bam_5742	CG4769
FBgn0035611	cluster8689	clusterTSS_bam_7106	CG13285
FBgn0035627	cluster8699	clusterTSS_bam_7117	Sse
FBgn0035656	cluster8722	clusterTSS_bam_7140	CG10479
FBgn0035695	cluster8737	clusterTSS_bam_7155	CG10226
FBgn0035696	cluster8739	clusterTSS_bam_7157	Best2
FBgn0035753	cluster8794	clusterTSS_bam_7200	RpL18
FBgn0035755	cluster8799	clusterTSS_bam_7205	CG14830
FBgn0035756	cluster8800	clusterTSS_bam_7206	unc-13-4A
FBgn0035761	cluster8801	clusterTSS_bam_7207	RhoGEF4
FBgn0035763	cluster8803	clusterTSS_bam_7209	CG8602
FBgn0035802	cluster7132	clusterTSS_bam_5838	CG33275
FBgn0035811	cluster7136	clusterTSS_bam_5842	CG12262
FBgn0035851	cluster7173	clusterTSS_bam_5878	MED24
FBgn0035868	cluster8887	clusterTSS_bam_7279	CG7194
FBgn0035911	cluster8917	clusterTSS_bam_7308	CG6638
FBgn0035916	cluster8920	clusterTSS_bam_7311	GAPsec
FBgn0035918	cluster8921	clusterTSS_bam_7313	Cdc6
FBgn0035964	cluster7260	clusterTSS_bam_5949	Dhpr
FBgn0035975	cluster7265	clusterTSS_bam_5952	PGRP-LA
FBgn0035997	cluster9001	clusterTSS_bam_7395	phol
FBgn0036004	cluster7300	clusterTSS_bam_5991	Jarid2
FBgn0036007	cluster9010	clusterTSS_bam_7403	path
FBgn0036038	cluster7324	clusterTSS_bam_6013	defl
FBgn0036043	cluster7332	clusterTSS_bam_6020	CG8177
FBgn0036121	cluster9105	clusterTSS_bam_7490	CG6310
FBgn0036126	cluster9112	clusterTSS_bam_7496	CG6272
FBgn0036147	cluster9127	clusterTSS_bam_7507	Plod
FBgn0036152	cluster9135	clusterTSS_bam_7514	CG6175
FBgn0036272	cluster9213	clusterTSS_bam_7571	CG4300
FBgn0036298	cluster9232	clusterTSS_bam_7591	nst
FBgn0036299	cluster9233	clusterTSS_bam_7592	Tsf2
FBgn0036337	cluster9261	clusterTSS_bam_7614	AdenoK
FBgn0036368	cluster7570	clusterTSS_bam_6210	CG10738
FBgn0036381	cluster9296	clusterTSS_bam_7632	CG8745
FBgn0036395	cluster7593	clusterTSS_bam_6230	CG17361
FBgn0036446	cluster7649	clusterTSS_bam_6273	CG9384
FBgn0036451	cluster7651	clusterTSS_bam_6275	CG9425
FBgn0036471	cluster9353	clusterTSS_bam_7674	CG13460
FBgn0036514	cluster7711	clusterTSS_bam_6320	CG12301
FBgn0036569	cluster7742	clusterTSS_bam_6346	CG5414
FBgn0036574	cluster7749	clusterTSS_bam_6355	elg1
FBgn0036686	cluster7827	clusterTSS_bam_6423	CG7728
FBgn0036698	cluster7835	clusterTSS_bam_6431	CG7724
FBgn0036714	cluster7844	clusterTSS_bam_6434	CG7692
FBgn0036732	cluster7857	clusterTSS_bam_6450	Oatp74D
FBgn0036754	cluster9557	clusterTSS_bam_7853	CG5589
FBgn0036764	cluster9563	clusterTSS_bam_7859	CG5535
FBgn0036770	cluster9564	clusterTSS_bam_7860	Prestin
FBgn0036773	cluster9578	clusterTSS_bam_7871	CG13698
FBgn0036801	cluster7902	clusterTSS_bam_6478	MYPT-75D
FBgn0036815	cluster7912	clusterTSS_bam_6486	HipHop
FBgn0036816	cluster9617	clusterTSS_bam_7892	Indy
FBgn0036825	cluster7921	clusterTSS_bam_6496	RpL26
FBgn0036838	cluster9629	clusterTSS_bam_7903	CG3808
FBgn0036843	cluster7928	clusterTSS_bam_6500	CG6812
FBgn0036844	cluster9635	clusterTSS_bam_7907	Mkp3
FBgn0036847	cluster9636	clusterTSS_bam_7908	CG11577
FBgn0036896	cluster9671	clusterTSS_bam_7934	wnd
FBgn0036921	cluster7975	clusterTSS_bam_6541	RhoGDI
FBgn0036929	cluster7986	clusterTSS_bam_6550	CG7668
FBgn0036975	cluster8019	clusterTSS_bam_6577	CG5618
FBgn0037000	cluster9751	clusterTSS_bam_7997	ZnT77C
FBgn0037007	cluster9752	clusterTSS_bam_7999	CG5059
FBgn0037016	cluster8044	clusterTSS_bam_6596	CG13252
FBgn0037094	cluster8109	clusterTSS_bam_6645	CG7611
FBgn0037130	cluster9852	clusterTSS_bam_8076	Syn1
FBgn0037141	cluster9862	clusterTSS_bam_8081	DNApol-eta
FBgn0037166	cluster8171	clusterTSS_bam_6695	CG11426
FBgn0037183	cluster9888	clusterTSS_bam_8098	CG14451
FBgn0037188	cluster8193	clusterTSS_bam_6704	CG7369
FBgn0037207	cluster8211	clusterTSS_bam_6719	Mes2
FBgn0037255	cluster10033	clusterTSS_bam_8191	Fip1
FBgn0037265	cluster10045	clusterTSS_bam_8199	spartin
FBgn0037270	cluster12089	clusterTSS_bam_9870	CG9769
FBgn0037294	cluster10069	clusterTSS_bam_8214	CG12590
FBgn0037328	cluster12163	clusterTSS_bam_9919	RpL35A
FBgn0037433	cluster10170	clusterTSS_bam_8298	CG17919
FBgn0037439	cluster10176	clusterTSS_bam_8305	CG10286
FBgn0037443	cluster12251	clusterTSS_bam_9994	Dmtn
FBgn0037468	cluster10218	clusterTSS_bam_8328	CG1943
FBgn0037541	cluster12359	clusterTSS_bam_10064	CG2747
FBgn0037562	cluster10310	clusterTSS_bam_8404	CG11671
FBgn0037577	cluster10315	clusterTSS_bam_8408	CG7443
FBgn0037612	cluster10341	clusterTSS_bam_8434	CG8112
FBgn0037619	cluster10346	clusterTSS_bam_8438	CG8159
FBgn0037624	cluster10349	clusterTSS_bam_8441	CG8223
FBgn0037633	cluster12415	clusterTSS_bam_10118	CG9839
FBgn0037670	cluster10383	clusterTSS_bam_8466	Ibf1
FBgn0037672	cluster12460	clusterTSS_bam_10168	sage
FBgn0037686	cluster12469	clusterTSS_bam_10177	RpL34b
FBgn0037696	cluster12478	clusterTSS_bam_10182	GstZ1
FBgn0037708	cluster12491	clusterTSS_bam_10195	CG9386
FBgn0037723	cluster10426	clusterTSS_bam_8503	SpdS
FBgn0037741	cluster12522	clusterTSS_bam_10229	CG16908
FBgn0037788	cluster10466	clusterTSS_bam_8540	CG3940
FBgn0037794	cluster12562	clusterTSS_bam_10270	CG6254
FBgn0037802	cluster12568	clusterTSS_bam_10275	Sirt6
FBgn0037834	cluster12600	clusterTSS_bam_10295	Art1
FBgn0037841	cluster10508	clusterTSS_bam_8577	CG4565
FBgn0037844	cluster10513	clusterTSS_bam_8581	CG4570
FBgn0037845	cluster12603	clusterTSS_bam_10297	CG14694
FBgn0037856	cluster10518	clusterTSS_bam_8585	Leash
FBgn0037879	cluster10538	clusterTSS_bam_8602	scpr-C
FBgn0037883	cluster10540	clusterTSS_bam_8604	CG14701
FBgn0037913	cluster12654	clusterTSS_bam_10349	fabp
FBgn0037956	cluster12697	clusterTSS_bam_10388	CG6959
FBgn0037960	cluster12699	clusterTSS_bam_10391	mthl5
FBgn0037963	cluster12702	clusterTSS_bam_10392	Cad87A
FBgn0037975	cluster12710	clusterTSS_bam_10399	CG3397
FBgn0037989	cluster12723	clusterTSS_bam_10410	ATP8B
FBgn0037999	cluster12727	clusterTSS_bam_10413	CG4860
FBgn0038057	cluster10651	clusterTSS_bam_8680	CG12267
FBgn0038071	cluster10658	clusterTSS_bam_8687	Dtg
FBgn0038110	cluster12784	clusterTSS_bam_10466	CG8031
FBgn0038149	cluster12803	clusterTSS_bam_10483	GILT1
FBgn0038204	cluster12857	clusterTSS_bam_10534	CG14357
FBgn0038247	cluster10786	clusterTSS_bam_8808	Cad88C
FBgn0038250	cluster10787	clusterTSS_bam_8809	CG3505
FBgn0038273	cluster10800	clusterTSS_bam_8820	CG14860
FBgn0038279	cluster10802	clusterTSS_bam_8822	Sdr
FBgn0038300	cluster10809	clusterTSS_bam_8827	CG4203
FBgn0038353	cluster10859	clusterTSS_bam_8897	CG5399
FBgn0038390	cluster10883	clusterTSS_bam_8913	Rbf2
FBgn0038395	cluster13028	clusterTSS_bam_10678	CG10407
FBgn0038416	cluster10920	clusterTSS_bam_8941	CG17930
FBgn0038460	cluster13085	clusterTSS_bam_10730	CG18622
FBgn0038506	cluster10969	clusterTSS_bam_8978	CG5860
FBgn0038550	cluster13131	clusterTSS_bam_10773	CG17801
FBgn0038564	cluster11001	clusterTSS_bam_8997	CG7785
FBgn0038597	cluster11035	clusterTSS_bam_9033	CG8064
FBgn0038632	cluster13184	clusterTSS_bam_10823	CG14301
FBgn0038638	cluster11060	clusterTSS_bam_9051	CG7702
FBgn0038679	cluster11090	clusterTSS_bam_9080	CG6040
FBgn0038680	cluster11092	clusterTSS_bam_9081	Cyp12a5
FBgn0038682	cluster13218	clusterTSS_bam_10850	CG5835
FBgn0038715	cluster11116	clusterTSS_bam_9099	CG7333
FBgn0038716	cluster11117	clusterTSS_bam_9100	CG7342
FBgn0038721	cluster13256	clusterTSS_bam_10871	subdued
FBgn0038737	cluster11126	clusterTSS_bam_9106	CG11447
FBgn0038746	cluster13274	clusterTSS_bam_10885	Surf6
FBgn0038755	cluster13278	clusterTSS_bam_10887	Hs6st
FBgn0038768	cluster11146	clusterTSS_bam_9119	CG4936
FBgn0038828	cluster13334	clusterTSS_bam_10927	CG17270
FBgn0038830	cluster13337	clusterTSS_bam_10929	CG17272
FBgn0038839	cluster13342	clusterTSS_bam_10932	CG10830
FBgn0038854	cluster13358	clusterTSS_bam_10948	CG7044
FBgn0038860	cluster11233	clusterTSS_bam_9198	Ice2
FBgn0038881	cluster13380	clusterTSS_bam_10967	CG16791
FBgn0038917	cluster11279	clusterTSS_bam_9228	CG6678
FBgn0038964	cluster13438	clusterTSS_bam_11011	Nop56
FBgn0038968	cluster13441	clusterTSS_bam_11014	CG12499
FBgn0038972	cluster11331	clusterTSS_bam_9272	CG7054
FBgn0038975	cluster11333	clusterTSS_bam_9274	Nrx-1
FBgn0038981	cluster13448	clusterTSS_bam_11022	CG5346
FBgn0039026	cluster11372	clusterTSS_bam_9300	CG7029
FBgn0039044	cluster13489	clusterTSS_bam_11057	p53
FBgn0039048	cluster13493	clusterTSS_bam_11060	CG17111
FBgn0039068	cluster11390	clusterTSS_bam_9314	CG13827
FBgn0039084	cluster13529	clusterTSS_bam_11087	CG10175
FBgn0039098	cluster11404	clusterTSS_bam_9325	GILT3
FBgn0039099	cluster11407	clusterTSS_bam_9329	GILT2
FBgn0039113	cluster13555	clusterTSS_bam_11105	CG10217
FBgn0039114	cluster11425	clusterTSS_bam_9347	Lsd-1
FBgn0039155	cluster11467	clusterTSS_bam_9381	Kal1
FBgn0039182	cluster13638	clusterTSS_bam_11193	CG5728
FBgn0039183	cluster11497	clusterTSS_bam_9411	Dis3
FBgn0039186	cluster13639	clusterTSS_bam_11194	CG5746
FBgn0039189	cluster13641	clusterTSS_bam_11196	CG18528
FBgn0039207	cluster13648	clusterTSS_bam_11199	CG5789
FBgn0039209	cluster13652	clusterTSS_bam_11202	CG13624
FBgn0039261	cluster13692	clusterTSS_bam_11237	CG6422
FBgn0039300	cluster13710	clusterTSS_bam_11252	RpS27
FBgn0039359	cluster13752	clusterTSS_bam_11291	RpL27
